Request_id,Request_type,Request_description,Request_date,Request_librarian,Request_status
1,maintenance,Need to repair the damaged whiteboard in the study room.,2024-11-07,378822233,done
2,room,Looking to reserve the heritage room for a historical society meeting.,2024-01-24,322215724,closed
3,room,Looking to reserve the garden area for an outdoor yoga class.,2024-04-14,381073709,closed
4,books,Need to purchase 'The Secret History' by Donna Tartt for the mystery section.,2024-02-25,304975725,done
5,maintenance,Need to repair the damaged display case in the main hall.,2024-02-22,273385716,closed
6,other,Need help with setting up a library bookmobile service.,2024-02-28,380683862,closed
7,room,Requesting the use of the demonstration kitchen for a cooking class.,2024-07-13,383226560,closed
8,books,Request to add 'Blink' by Malcolm Gladwell to the psychology section.,2024-03-24,343626172,closed
9,maintenance,Request to clean the spilled ink stain on the carpet.,2024-02-07,202809745,done
10,other,Requesting support for a community gardening project.,2024-03-04,240447144,done
11,other,Requesting support for a library-hosted community theater program.,2024-06-10,325460236,closed
12,other,Request to host a local author's book signing event.,2024-08-06,273386110,closed
13,books,Requesting 'Cosmos' by Carl Sagan for the astronomy section.,2024-02-29,272539917,in progress
14,room,Request to use the green room for a video shoot.,2024-02-05,301317277,in progress
15,other,Need to plan a holiday-themed reading event.,2024-08-26,390073559,in progress
16,maintenance,Request to repair the damaged carpet in the seminar room.,2024-05-31,212959720,closed
17,room,Requesting the use of the large conference hall for a corporate event.,2024-10-26,213125727,in progress
18,other,Request to start a library-hosted photography workshop.,2024-07-21,217666684,waiting
19,room,Request to book the main lobby for a holiday decoration event.,2024-03-18,328778634,closed
20,books,Seeking 'The Lean Startup' by Eric Ries for the business strategy section.,2024-01-16,356263731,done
21,books,Need additional copies of 'Pride and Prejudice' by Jane Austen.,2024-06-30,343626172,closed
22,other,Requesting support for a library-hosted career fair.,2024-10-13,342088705,closed
23,books,Request to replace the worn-out copy of 'Great Expectations' by Charles Dickens.,2024-04-30,239678220,in progress
24,other,Looking to coordinate with local schools for library tours.,2024-03-27,387341787,waiting
25,maintenance,Looking to address the mold issue in the storage closet.,2024-06-10,304375306,waiting
26,other,Request to create an online archive of local history.,2024-11-04,374830776,closed
27,other,Request to host a community board game night in the library.,2024-08-20,264368390,waiting
28,room,Seeking to reserve the quiet carrel for individual research.,2024-09-18,359518008,in progress
29,maintenance,Requesting maintenance for the faulty thermostat in the staff lounge.,2024-01-19,284201662,closed
30,room,Seeking to reserve the auditorium for a keynote speech at the annual conference.,2024-04-24,292019064,in progress
31,room,Need a room for a community gardening club meeting.,2024-09-30,213125727,in progress
32,books,Seeking 'The Girl with the Dragon Tattoo' by Stieg Larsson for the mystery section.,2024-09-24,343603908,waiting
33,other,Request to start a library-hosted trivia night.,2024-08-06,379899594,waiting
34,maintenance,Requesting maintenance for the malfunctioning printer in the computer lab.,2024-09-16,219037645,done
35,other,Request to organize a book donation drive in the library.,2024-10-08,332284330,in progress
36,other,Looking to develop a mobile app for library services.,2024-05-04,251201281,waiting
37,other,Seeking to establish a library-sponsored book club.,2024-09-12,391388998,closed
38,books,Need the latest release of 'Modern Physics' for the physics department.,2024-06-02,226642718,closed
39,room,Looking to reserve the lecture theater for a public speaking workshop.,2024-04-05,398637793,in progress
40,room,Requesting the use of the gallery room for a photography exhibit.,2024-03-05,328727094,done
41,other,Seeking to establish a library coding club for kids.,2024-01-25,356263731,closed
42,other,Request to set up a social media account for library updates.,2024-06-14,316346196,closed
