Category_id,Category,Subcategory,Description
5000,Psychology,Clinical Psychology,"Clinical Psychology involves the assessment, diagnosis, and treatment of mental health disorders, including the application of therapeutic techniques to help individuals manage psychological difficulties and improve well-being."
5001,Political Science,Government,"Government in Political Science studies the structures, functions, and processes of government institutions, including the analysis of political systems, public administration, and the role of government in society."
5002,Economics,Econometrics,"Econometrics applies statistical methods to economic data to test hypotheses, estimate relationships, and forecast future trends, combining economic theory with statistical techniques for empirical analysis."
5003,Linguistics,Psycholinguistics,"Psycholinguistics studies the psychological processes involved in the comprehension, production, and acquisition of language, including how the brain processes and understands linguistic information."
5004,Mathematics,Linear Algebra,"Linear Algebra is a branch of mathematics that studies vectors, vector spaces, linear transformations, and systems of linear equations, with applications in science, engineering, and computer science."
5005,Linguistics,Sociolinguistics,"Sociolinguistics examines the relationship between language and society, including how language varies across social groups, regions, and cultures, and how social factors influence language use and change."
5006,Political Science,General Political Science,"General Political Science explores the theory and practice of politics and government, including the study of political institutions, behavior, ideologies, and the analysis of political systems and policies."
5007,History,Medieval History,"Medieval History studies the history of Europe and the Mediterranean from the fall of the Roman Empire to the beginning of the Renaissance, exploring the political, social, religious, and cultural developments of the Middle Ages."
5008,Physics,Thermodynamics,"Thermodynamics is the branch of physics that studies the relationships between heat, energy, and work, including the laws of thermodynamics and their applications in engines, refrigerators, and other systems."
5009,Programming,Ruby,"Ruby is a dynamic, object-oriented programming language known for its simplicity and productivity, widely used in web development, particularly with the Ruby on Rails framework."
5010,Computer Science,Programming,"Programming in Computer Science involves the creation of software applications by writing code in various programming languages, including understanding algorithms, data structures, and software development methodologies."
5011,Biology,Anatomy,"Anatomy is the branch of biology that studies the structure and organization of living organisms, including the human body, and the relationships between its parts."
5012,Astronomy,Observational Astronomy,"Observational Astronomy involves the study of celestial objects and phenomena using telescopes and other instruments to collect data about stars, planets, galaxies, and the universe."
5013,Education,Psychology,"Educational Psychology studies the psychological processes involved in learning, including cognitive development, motivation, instructional methods, and assessment techniques."
5014,Biology,Plant Biology,"Plant Biology studies the structure, function, growth, reproduction, and physiology of plants, including topics like photosynthesis, plant genetics, and the role of plants in ecosystems and agriculture."
5015,Environmental Science,General Environmental Science,"General Environmental Science studies the interactions between humans and the environment, including topics like ecosystems, biodiversity, pollution, conservation, and sustainable practices."
5016,Law,Contract Law,"Contract Law involves the study of the legal principles that govern the formation, interpretation, and enforcement of contracts, including the rights and obligations of the parties involved in contractual agreements."
5017,Programming,Web Development,"Web Development involves the creation and maintenance of websites and web applications, including the design, coding, and deployment of front-end and back-end components using languages like HTML, CSS, JavaScript, and frameworks like React or Angular."
5018,Linguistics,Language and Culture,"Language and Culture in Linguistics examines how language reflects and shapes cultural identities, practices, and worldviews, exploring the connections between linguistic structures and cultural phenomena."
5019,Programming,C++,"C++ is a powerful, high-performance programming language used for developing system software, game engines, and applications requiring efficient resource management."
5020,Psychology,General Psychology,"General Psychology covers the study of mental processes and behavior, exploring various psychological theories, cognitive functions, emotions, and developmental stages."
5021,Economics,Development Economics,"Development Economics studies the economic aspects of the development process in low-income countries, including issues related to poverty, inequality, education, health, and sustainable economic growth."
5022,Linguistics,General Linguistics,"General Linguistics covers the study of language structure, function, and use, including the analysis of phonetics, phonology, syntax, semantics, and language acquisition, as well as the evolution and diversity of languages."
5023,Chemistry,Sustainable Chemistry,"Sustainable Chemistry focuses on the development of chemical processes and products that reduce or eliminate the use and generation of hazardous substances, aiming to minimize environmental impact and enhance resource efficiency."
5024,Business,Ethics,"Business Ethics involves the study of moral principles and standards that guide behavior in the business world, including issues related to corporate responsibility, ethical decision-making, and the impact of business practices on society."
5025,Astronomy,General Astronomy,"General Astronomy covers the study of celestial objects and phenomena, including stars, planets, galaxies, and the universe as a whole, exploring the fundamental principles of astrophysics, cosmology, and observational techniques."
5026,Astronomy,Astrophysics,"Astrophysics studies the physical properties and processes of celestial objects and phenomena, including stars, galaxies, black holes, and the fundamental forces governing the universe."
5027,History,Middle East History,"Middle East History studies the political, social, and cultural developments in the Middle Eastern region from ancient times to the present, including significant events, movements, and influential figures."
5028,Law,Property Law,"Property Law involves the study of legal rules and principles governing the ownership, use, and transfer of property, including real estate, intellectual property, and personal property rights."
5029,Business,Brand Management,"Brand Management involves the development and implementation of strategies to create and maintain a brand's identity, image, and reputation, ensuring consistency and differentiation in the market to build brand loyalty and equity."
5030,Political Science,International Relations,"International Relations studies the interactions between countries, including the analysis of diplomacy, conflict, trade, international organizations, and the impact of global issues on national and international politics."
5031,Business,Strategy,"Business Strategy involves the development and implementation of plans to achieve long-term business objectives, including competitive analysis, resource management, and market positioning."
5032,Business,Marketing,"Marketing in Business involves the promotion and selling of products or services, including market research, advertising, branding, pricing strategies, and customer relationship management."
5033,Sociology,Religion,"Sociology of Religion examines the social aspects of religious beliefs, practices, and institutions, including the role of religion in society, the relationship between religion and social change, and the interaction between religion and other social institutions."
5034,Accounting,Taxation,"Taxation in Accounting involves the study of tax laws, regulations, and practices, including the preparation of tax returns, tax planning, and the impact of taxes on financial decision-making."
5035,Philosophy,Politics,"Philosophy of Politics explores the ethical and philosophical foundations of political systems, governance, justice, rights, and the role of the state in society."
5036,Psychology,Cognitive Psychology,"Cognitive Psychology studies the mental processes involved in perception, memory, thinking, problem-solving, and decision-making, exploring how people understand, interpret, and respond to information."
5037,History,Modern History,"Modern History studies the history of the world from the late 15th century to the present, including the development of nation-states, industrialization, colonialism, world wars, and contemporary global issues."
5038,Biology,General Biology,"General Biology covers the study of living organisms and their interactions with the environment, including topics such as genetics, evolution, ecology, physiology, and the diversity of life forms."
5039,Programming,SQL,"SQL (Structured Query Language) is a programming language used for managing and querying relational databases, allowing users to insert, update, delete, and retrieve data efficiently."
5040,Accounting,Financial Accounting,"Financial Accounting involves the preparation, reporting, and analysis of financial statements, providing information about a company's financial performance to external stakeholders, including investors and regulators."
5041,Art History,General Art History,"General Art History explores the history of art across different cultures and periods, including the study of artistic styles, techniques, movements, and the influence of historical contexts on artistic expression."
5042,Statistics,Descriptive Statistics,"Descriptive Statistics involves methods for summarizing and describing the main features of a data set, including measures of central tendency, variability, and graphical representations like histograms and bar charts."
5043,Sociology,Criminology,"Criminology in Sociology studies the causes, consequences, and prevention of crime, including the analysis of criminal behavior, the criminal justice system, and the social and economic factors that influence crime rates."
5044,Anthropology,Biological Anthropology,"Biological Anthropology studies the biological and evolutionary aspects of humans, including human genetics, primatology, paleoanthropology, and the study of human physical variation."
5045,Mathematics,Calculus,"Calculus is a branch of mathematics that studies continuous change, including concepts such as limits, derivatives, integrals, and the study of functions and their behavior."
5046,Accounting,Ethics,"Accounting Ethics involves the study of moral principles and standards that guide the behavior of accountants, including issues related to integrity, objectivity, confidentiality, and professional conduct."
5047,Political Science,Political Theory,"Political Theory in Political Science explores the ideas and concepts that have shaped political thought throughout history, including theories of justice, democracy, liberty, and the role of the state."
5048,Sociology,General Sociology,"General Sociology explores the study of society, social institutions, and social relationships, including the analysis of social structures, cultural norms, and social behavior."
5049,Psychology,Abnormal Psychology,"Abnormal Psychology studies atypical patterns of behavior, thought, and emotion, including the diagnosis, treatment, and understanding of mental disorders such as depression, anxiety, and schizophrenia."
