Category_id,Category,Subcategory,Description
1,Drama,Intermediate,"This category offers engaging and insightful books for anyone in Intermediate level, making it an essential resource in the field of Drama."
2,Horror,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of Horror."
3,Poetry,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of Poetry."
4,Psychology,Intermediate,"This category offers engaging and insightful books for anyone in Intermediate level, making it an essential resource in the field of Psychology."
5,Fiction,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of Fiction."
6,Music,Intermediate,"This category offers engaging and insightful books for anyone in Intermediate level, making it an essential resource in the field of Music."
7,Comedy,Intermediate,"This category offers engaging and insightful books for anyone in Intermediate level, making it an essential resource in the field of Comedy."
8,Engineering,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of Engineering."
9,Music,Beginner,"This category offers engaging and insightful books for anyone in Beginner level, making it an essential resource in the field of Music."
10,Science,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of Science."
11,Art,Intermediate,"This category offers engaging and insightful books for anyone in Intermediate level, making it an essential resource in the field of Art."
12,Philosophy,Beginner,"This category offers engaging and insightful books for anyone in Beginner level, making it an essential resource in the field of Philosophy."
13,Economics,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of Economics."
14,Horror,Beginner,"This category offers engaging and insightful books for anyone in Beginner level, making it an essential resource in the field of Horror."
15,Fantasy,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of Fantasy."
16,Biography,Beginner,"This category offers engaging and insightful books for anyone in Beginner level, making it an essential resource in the field of Biography."
17,Art,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of Art."
18,History,Beginner,"This category offers engaging and insightful books for anyone in Beginner level, making it an essential resource in the field of History."
19,History,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of History."
20,Music,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of Music."
21,Comedy,Beginner,"This category offers engaging and insightful books for anyone in Beginner level, making it an essential resource in the field of Comedy."
22,Economics,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of Economics."
23,Philosophy,Beginner,"This category offers engaging and insightful books for anyone in Beginner level, making it an essential resource in the field of Philosophy."
24,History,Intermediate,"This category offers engaging and insightful books for anyone in Intermediate level, making it an essential resource in the field of History."
25,Comedy,Intermediate,"This category offers engaging and insightful books for anyone in Intermediate level, making it an essential resource in the field of Comedy."
26,Technology,Beginner,"This category offers engaging and insightful books for anyone in Beginner level, making it an essential resource in the field of Technology."
27,Horror,Intermediate,"This category offers engaging and insightful books for anyone in Intermediate level, making it an essential resource in the field of Horror."
28,Comedy,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of Comedy."
29,Mystery,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of Mystery."
30,Drama,Beginner,"This category offers engaging and insightful books for anyone in Beginner level, making it an essential resource in the field of Drama."
31,Engineering,Intermediate,"This category offers engaging and insightful books for anyone in Intermediate level, making it an essential resource in the field of Engineering."
32,Mystery,Intermediate,"This category offers engaging and insightful books for anyone in Intermediate level, making it an essential resource in the field of Mystery."
33,Religion,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of Religion."
34,Science,Beginner,"This category offers engaging and insightful books for anyone in Beginner level, making it an essential resource in the field of Science."
35,Fiction,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of Fiction."
36,Engineering,Beginner,"This category offers engaging and insightful books for anyone in Beginner level, making it an essential resource in the field of Engineering."
37,Fiction,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of Fiction."
38,Technology,Beginner,"This category offers engaging and insightful books for anyone in Beginner level, making it an essential resource in the field of Technology."
39,Art,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of Art."
40,Engineering,Beginner,"This category offers engaging and insightful books for anyone in Beginner level, making it an essential resource in the field of Engineering."
41,Horror,Intermediate,"This category offers engaging and insightful books for anyone in Intermediate level, making it an essential resource in the field of Horror."
42,Science,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of Science."
43,Comedy,Beginner,"This category offers engaging and insightful books for anyone in Beginner level, making it an essential resource in the field of Comedy."
44,Engineering,Beginner,"This category offers engaging and insightful books for anyone in Beginner level, making it an essential resource in the field of Engineering."
45,Politics,Advanced,"This category offers engaging and insightful books for anyone in Advanced level, making it an essential resource in the field of Politics."
46,Horror,Beginner,"This category offers engaging and insightful books for anyone in Beginner level, making it an essential resource in the field of Horror."
47,Poetry,Intermediate,"This category offers engaging and insightful books for anyone in Intermediate level, making it an essential resource in the field of Poetry."
48,Technology,Intermediate,"This category offers engaging and insightful books for anyone in Intermediate level, making it an essential resource in the field of Technology."
49,Art,Intermediate,"This category offers engaging and insightful books for anyone in Intermediate level, making it an essential resource in the field of Art."
50,Philosophy,Intermediate,"This category offers engaging and insightful books for anyone in Intermediate level, making it an essential resource in the field of Philosophy."
