Author_id,Author_academic_title,Author_first_name,Author_last_name,Author_birth_date,Nationality,Biography
1001,Dr.,Jacob,Levi,1948-04-14,Germany,Dr. Jacob Levi is a senior lecturer at the Hebrew University in the field of mathematics.
1002,Prof.,Dana,Cohen,1945-01-04,Korea,Prof. Dana Cohen is a renowned professor at Tel Aviv University specializing in organic chemistry.
1003,Dr.,Michael,Stern,1987-05-15,Israel,Dr. Michael Stern is a well-known physicist and lecturer at the Technion.
1004,Prof.,Rachel,Green,1949-01-23,Canada,Prof. Rachel Green is a distinguished economist teaching at the University of Haifa.
1005,Dr.,David,Katz,1980-01-06,Canada,Dr. David Katz is an expert in computer science and a lecturer at Ben-Gurion University.
1006,Prof.,Sarah,Levy,1980-09-09,France,Prof. Sarah Levy is a leading biologist at the Weizmann Institute of Science.
1007,Dr.,Alan,Berger,1975-06-26,Israel,Dr. Alan Berger is a prominent sociologist at Bar-Ilan University.
1008,Prof.,Linda,Cohen,2007-11-23,Spain,Prof. Linda Cohen is a well-respected statistician teaching at Tel Aviv University.
1009,Dr.,Robert,Stein,2001-05-26,India,Dr. Robert Stein is an experienced accountant and professor at the Open University.
1010,Dr.,Emily,White,1969-08-06,USA,Dr. Emily White is a professor of environmental science at the University of Tel Aviv.
1011,Prof.,Isaac,Brown,1994-02-03,France,Prof. Isaac Brown is a distinguished professor of philosophy at the Hebrew University.
1012,Dr.,Laura,Green,1941-06-11,China,Dr. Laura Green is a marketing expert and professor at the University of Haifa.
1013,Dr.,Samuel,Gray,2003-10-23,India,Dr. Samuel Gray is a psychologist and professor at Bar-Ilan University.
1014,Prof.,Anna,Lewis,1948-03-02,Spain,Prof. Anna Lewis is a political scientist and lecturer at the Hebrew University.
1015,Dr.,Mark,Wilson,1985-04-11,Russia,Dr. Mark Wilson is a legal scholar and professor at Tel Aviv University.
1016,Prof.,Karen,Smith,1990-03-20,China,Prof. Karen Smith is a leading linguist and professor at the University of Haifa.
1017,Dr.,Paul,Adams,1940-06-28,USA,Dr. Paul Adams is an anthropologist and professor at the Hebrew University.
1018,Prof.,Lisa,Brown,1989-04-23,Spain,Prof. Lisa Brown is an art historian and professor at Tel Aviv University.
1019,Dr.,James,Clark,1978-12-11,Russia,Dr. James Clark is an astronomer and professor at the Weizmann Institute of Science.
1020,Prof.,Jane,Turner,1942-06-28,Israel,Prof. Jane Turner is a historian and professor at the University of Haifa.
1021,Dr.,Nancy,Lewis,2004-03-14,Canada,Dr. Nancy Lewis is a sociologist and professor at Tel Aviv University.
1022,Prof.,David,Harris,1940-01-26,Germany,Prof. David Harris is an economist and professor at the University of Haifa.
1023,Dr.,Steven,Miller,1984-07-14,Japan,Dr. Steven Miller is a chemist and professor at the Weizmann Institute of Science.
1024,Prof.,Emily,Davis,1958-04-29,France,Prof. Emily Davis is an education expert and professor at Bar-Ilan University.
1025,Dr.,Alice,Thompson,1973-08-08,China,Dr. Alice Thompson is a renowned sociologist at the University of Tel Aviv.
1026,Prof.,Michael,Johnson,1944-12-30,UK,Prof. Michael Johnson is an experienced economist teaching at the University of Haifa.
1027,Dr.,Emma,Davis,1968-04-20,Spain,Dr. Emma Davis is a leading psychologist at Bar-Ilan University.
1028,Prof.,David,Clark,1988-07-15,Korea,Prof. David Clark is a political scientist at the Hebrew University.
1029,Dr.,Sarah,Miller,1956-01-11,UK,Dr. Sarah Miller is an expert in marketing at Tel Aviv University.
1030,Prof.,James,Anderson,1958-11-22,Israel,Prof. James Anderson is a leading biologist at the Weizmann Institute of Science.
1031,Dr.,Linda,Brown,2010-09-03,Russia,Dr. Linda Brown is a chemist and professor at the University of Haifa.
1032,Prof.,Karen,Wilson,1945-05-07,Korea,Prof. Karen Wilson is an environmental scientist at the Technion.
1033,Dr.,Robert,Harris,1993-10-28,China,Dr. Robert Harris is a computer scientist at Ben-Gurion University.
1034,Prof.,Laura,White,1968-12-08,Canada,Prof. Laura White is a physicist at the Hebrew University.
1035,Dr.,John,Lee,2009-02-05,USA,Dr. John Lee is a legal scholar at Tel Aviv University.
1036,Prof.,Olivia,Green,1980-10-14,China,Prof. Olivia Green is an art historian at the University of Haifa.
1037,Dr.,Thomas,Young,1997-12-01,Spain,Dr. Thomas Young is a philosopher at Bar-Ilan University.
1038,Prof.,Emma,Robinson,1983-01-05,USA,Prof. Emma Robinson is an anthropologist at the Hebrew University.
1039,Dr.,Richard,Brown,1987-01-27,Korea,Dr. Richard Brown is a linguist at Tel Aviv University.
1040,Prof.,John,Carter,1948-07-13,Japan,Prof. John Carter is an astronomer at the Weizmann Institute of Science.
1041,Dr.,Emily,Harris,1952-01-27,USA,Dr. Emily Harris is a historian at Tel Aviv University.
1042,Prof.,Michael,Scott,1978-08-24,Israel,Prof. Michael Scott is a business expert at the University of Haifa.
1043,Dr.,Patricia,Green,1968-09-16,Germany,Dr. Patricia Green is an education expert at Bar-Ilan University.
1044,Prof.,William,Adams,2008-05-16,Canada,Prof. William Adams is an engineer at the Technion.
1045,Dr.,Hannah,Thompson,1963-07-25,India,Dr. Hannah Thompson is an environmental scientist at the University of Tel Aviv.
1046,Prof.,Charles,Walker,1969-08-10,India,Prof. Charles Walker is a philosopher at the Hebrew University.
1047,Dr.,Jessica,Lee,1980-01-14,USA,Dr. Jessica Lee is a political scientist at Bar-Ilan University.
1048,Prof.,Daniel,Wright,1952-07-03,Korea,Prof. Daniel Wright is a sociologist at Tel Aviv University.
1049,Dr.,Sarah,Wilson,2001-04-29,France,Dr. Sarah Wilson is a psychologist at the University of Haifa.
1050,Prof.,Matthew,Harris,1947-05-10,Spain,Prof. Matthew Harris is an economist at the Technion.
1051,Dr.,Natalie,Evans,1985-07-19,USA,Dr. Natalie Evans is a historian at the Hebrew University.
1052,Prof.,Ryan,Cooper,1953-01-10,France,Prof. Ryan Cooper is a chemist at Bar-Ilan University.
1053,Dr.,Anna,Martin,1998-09-23,France,Dr. Anna Martin is a business expert at the University of Haifa.
1054,Prof.,Jason,Roberts,2010-09-10,Germany,Prof. Jason Roberts is an engineer at the Technion.
1055,Dr.,Megan,Lewis,1978-12-15,Korea,Dr. Megan Lewis is an environmental scientist at the University of Tel Aviv.
1056,Prof.,Andrew,Parker,1996-03-12,India,Prof. Andrew Parker is an art historian at the University of Haifa.
1057,Dr.,Nancy,Hall,2007-04-27,Korea,Dr. Nancy Hall is a philosopher at Bar-Ilan University.
1058,Prof.,Jonathan,Edwards,1979-07-31,Spain,Prof. Jonathan Edwards is an anthropologist at the Hebrew University.
1059,Dr.,Patricia,White,1951-03-04,UK,Dr. Patricia White is a linguist at Tel Aviv University.
1060,Prof.,Charles,Turner,1996-01-22,USA,Prof. Charles Turner is an astronomer at the Weizmann Institute of Science.
1061,Dr.,Elizabeth,Green,1983-09-10,France,Dr. Elizabeth Green is a historian at the University of Haifa.
1062,Prof.,Andrew,Johnson,1999-01-02,Israel,Prof. Andrew Johnson is a business expert at the Hebrew University.
1063,Dr.,Rachel,Brown,1952-09-22,Russia,Dr. Rachel Brown is an education expert at Bar-Ilan University.
1064,Prof.,Thomas,Jackson,1961-07-18,Russia,Prof. Thomas Jackson is an engineer at the Technion.
1065,Dr.,Laura,Young,2008-07-25,Israel,Dr. Laura Young is an environmental scientist at the University of Tel Aviv.
1066,Prof.,Nicholas,Lee,1955-03-08,Korea,Prof. Nicholas Lee is a philosopher at the Hebrew University.
1067,Dr.,Susan,Harris,1965-02-02,Germany,Dr. Susan Harris is a sociologist at Bar-Ilan University.
1068,Prof.,David,Thompson,1957-05-30,UK,Prof. David Thompson is a psychologist at Tel Aviv University.
1069,Dr.,Karen,Martinez,1943-05-05,Italy,Dr. Karen Martinez is an economist at the University of Haifa.
1070,Prof.,Jessica,Miller,1990-08-13,Germany,Prof. Jessica Miller is a historian at the Hebrew University.
1071,Dr.,Edward,Brown,1998-10-15,Spain,Dr. Edward Brown is a chemist at Bar-Ilan University.
1072,Prof.,Sarah,Robinson,1976-02-24,Canada,Prof. Sarah Robinson is a business expert at the University of Haifa.
1073,Dr.,Thomas,Green,2009-03-19,Korea,Dr. Thomas Green is an engineer at the Technion.
1074,Prof.,Laura,King,1944-05-09,USA,Prof. Laura King is an environmental scientist at the University of Tel Aviv.
1075,Dr.,Brian,Wright,1968-01-07,USA,Dr. Brian Wright is a philosopher at the Hebrew University.
1076,Prof.,Jennifer,Young,2009-06-30,China,Prof. Jennifer Young is a political scientist at Bar-Ilan University.
1077,Dr.,Elizabeth,Lewis,1952-06-20,Japan,Dr. Elizabeth Lewis is a sociologist at Tel Aviv University.
