Book_id,Book_name,Publication_date,Category_id,Author_id,Language,Book_description
3000,Introduction to Mathematics,2020-09-15,5075,1001,Spanish,This book presents the basics of algebra and is especially suitable for students at the beginning of their academic journey.
3001,Advanced Algebra,2021-03-20,5075,1001,Japanese,An in-depth look at advanced algebraic concepts for students with prior knowledge in algebra.
3002,Linear Algebra,2019-06-10,5004,1001,Japanese,"This book covers the fundamentals of linear algebra, including vector spaces and matrices."
3003,Calculus I,2018-02-25,5045,1001,Russian,"An introductory guide to calculus, covering limits, derivatives, and integrals."
3004,Discrete Mathematics,2021-07-15,5065,1001,Spanish,"This book introduces the concepts of discrete mathematics, including graph theory and combinatorics."
3005,Probability Theory,2020-11-05,5127,1001,Korean,"A comprehensive guide to probability theory, covering probability distributions and statistical inference."
3006,Complex Analysis,2019-04-20,5078,1001,Italian,"This book covers the fundamentals of complex analysis, including analytic functions and complex integration."
3007,Mathematical Logic,2022-01-30,5116,1001,Italian,"An introduction to mathematical logic, including set theory and formal languages."
3008,Organic Chemistry for Beginners,2018-05-10,5076,1002,Spanish,"This book covers fundamental concepts of organic chemistry, tailored for beginner students."
3009,Advanced Organic Chemistry,2020-01-15,5076,1002,Korean,A deeper exploration of organic chemistry concepts for advanced students.
3010,Laboratory Techniques in Organic Chemistry,2019-08-20,5076,1002,Russian,A practical guide to laboratory techniques in organic chemistry.
3011,Organic Synthesis,2021-11-30,5076,1002,Hindi,This book covers the principles and methods of organic synthesis.
3012,Spectroscopy in Organic Chemistry,2017-03-25,5076,1002,Italian,An introduction to spectroscopic techniques used in the analysis of organic compounds.
3013,Organic Reaction Mechanisms,2018-12-12,5076,1002,Spanish,A detailed exploration of the mechanisms behind various organic reactions.
3014,Medicinal Chemistry,2020-10-18,5125,1002,Hebrew,An overview of the principles of medicinal chemistry and drug design.
3015,Green Chemistry,2022-05-05,5023,1002,Japanese,This book discusses the principles and applications of green chemistry in modern research.
3016,Principles of Physics,2019-02-25,5168,1003,Hebrew,"An essential textbook covering the main principles of physics, ideal for undergraduate students."
3017,Classical Mechanics,2020-07-15,5098,1003,Chinese,"This book delves into the principles of classical mechanics, including motion, forces, and energy."
3018,Electromagnetism,2021-09-05,5068,1003,Korean,"A comprehensive guide to the principles of electromagnetism, covering electric fields, magnetic fields, and their interactions."
3019,Thermodynamics,2018-11-25,5008,1003,Russian,"An introduction to thermodynamics, covering the laws of thermodynamics and their applications."
3020,Quantum Mechanics,2017-04-10,5109,1003,German,"This book introduces the principles of quantum mechanics, including wave functions and uncertainty principles."
3021,Statistical Mechanics,2019-06-20,5137,1003,Spanish,"An overview of statistical mechanics, covering ensembles and distribution functions."
3022,Optics,2020-01-30,5088,1003,French,"A comprehensive guide to the principles of optics, including reflection, refraction, and diffraction."
3023,Nuclear Physics,2021-03-15,5103,1003,Korean,"This book covers the fundamentals of nuclear physics, including nuclear reactions and decay processes."
3024,Introduction to Economics,2021-01-12,5166,1004,English,A comprehensive guide to the basics of microeconomics for first-year economics students.
3025,Advanced Microeconomics,2020-05-22,5166,1004,Hebrew,An advanced exploration of microeconomic theory and applications.
3026,Macroeconomics,2019-08-30,5148,1004,Russian,"An introduction to macroeconomic principles, including national income, inflation, and unemployment."
3027,Econometrics,2018-02-15,5002,1004,German,A detailed guide to econometric methods and their applications in economic research.
3028,International Economics,2022-03-25,5156,1004,French,"This book covers the principles of international trade and finance, including exchange rates and trade policies."
3029,Development Economics,2020-11-10,5021,1004,Japanese,"An introduction to the economics of development, covering poverty, inequality, and economic growth."
3030,Public Economics,2019-05-18,5134,1004,Chinese,"This book explores the role of government in the economy, including taxation and public expenditure."
3031,Behavioral Economics,2018-09-28,5091,1004,Korean,"An overview of behavioral economics, focusing on how psychological factors affect economic decision-making."
3032,Fundamentals of Computer Science,2022-03-30,5010,1005,English,This book introduces fundamental programming concepts and techniques using Python.
3033,Data Structures and Algorithms,2021-06-15,5084,1005,Hebrew,"A comprehensive guide to data structures and algorithms, including implementation examples in Python."
3034,Database Systems,2020-10-22,5131,1005,French,"An introduction to database systems, covering SQL and NoSQL databases."
3035,Operating Systems,2019-01-15,5092,1005,German,"This book covers the principles and design of operating systems, including process management and memory management."
3036,Computer Networks,2021-09-30,5060,1005,Chinese,"An overview of computer networks, covering protocols, network architectures, and security."
3037,Software Engineering,2020-05-12,5169,1005,Russian,"This book introduces the principles and practices of software engineering, including software development lifecycle and project management."
3038,Artificial Intelligence,2022-02-20,5163,1005,French,"An introduction to artificial intelligence, covering machine learning, neural networks, and natural language processing."
3039,Computer Security,2018-07-15,5135,1005,English,"This book covers the fundamentals of computer security, including cryptography, network security, and cybersecurity practices."
3040,Modern Biology,2017-07-22,5138,1006,Korean,"An in-depth look at cellular biology, ideal for undergraduate biology students."
3041,Genetics,2019-03-15,5071,1006,Spanish,"This book covers the principles of genetics, including inheritance patterns, DNA structure, and gene expression."
3042,Evolutionary Biology,2020-08-10,5052,1006,French,"An introduction to evolutionary biology, covering the mechanisms of evolution and the history of life on Earth."
3043,Biochemistry,2018-04-05,5112,1006,Spanish,"This book provides an overview of biochemistry, including the structure and function of biomolecules and metabolic pathways."
3044,Microbiology,2021-12-15,5086,1006,German,"An introduction to microbiology, covering the biology of microorganisms and their roles in various environments."
3045,Molecular Biology,2019-09-25,5082,1006,Korean,"This book covers the fundamentals of molecular biology, including gene expression, DNA replication, and molecular techniques."
3046,Plant Biology,2020-06-30,5014,1006,German,"An exploration of plant biology, including plant physiology, structure, and development."
3047,Human Anatomy and Physiology,2018-11-10,5011,1006,Italian,"A comprehensive guide to human anatomy and physiology, covering the structure and function of the human body."
3048,Basics of Sociology,2020-11-05,5102,1007,Japanese,This textbook covers the fundamental theories and concepts in sociology.
3049,Social Research Methods,2018-05-22,5154,1007,Hebrew,"An introduction to social research methods, including qualitative and quantitative approaches."
3050,Sociology of Education,2019-08-18,5113,1007,Russian,"This book explores the sociological aspects of education, including the role of schools and educational inequality."
3051,Sociology of Health,2021-02-12,5119,1007,German,"An overview of the sociology of health, covering topics such as health disparities and the healthcare system."
3052,Urban Sociology,2018-09-15,5097,1007,Hindi,"This book covers the sociological study of urban areas, including urbanization, city life, and urban problems."
3053,Sociology of the Family,2019-03-25,5173,1007,Chinese,"An exploration of the sociology of the family, including family structures, dynamics, and changes."
3054,Political Sociology,2020-07-05,5114,1007,Hebrew,"This book examines the relationship between society and politics, including power, authority, and political institutions."
3055,Criminology,2021-10-20,5043,1007,Italian,"An introduction to criminology, covering the causes of crime, criminal behavior, and the criminal justice system."
3056,Introduction to Statistics,2019-08-18,5042,1008,Russian,"A beginner's guide to descriptive statistics, perfect for students new to the field."
3057,Probability and Statistics,2020-11-05,5077,1008,Russian,"This book covers the fundamentals of probability and statistics, including probability distributions and hypothesis testing."
3058,Statistical Methods,2018-02-28,5115,1008,Korean,"An introduction to statistical methods, including regression analysis and ANOVA."
3059,Data Analysis,2021-03-25,5167,1008,Russian,"A comprehensive guide to data analysis, including data visualization and statistical software."
3060,Biostatistics,2019-07-10,5053,1008,Italian,"An introduction to biostatistics, covering statistical methods used in biological and medical research."
3061,Time Series Analysis,2020-09-15,5099,1008,Hindi,"This book covers the principles of time series analysis, including forecasting and seasonal adjustments."
3062,Experimental Design,2021-11-30,5104,1008,Italian,"An overview of experimental design principles, including randomization, replication, and blocking."
3063,Multivariate Analysis,2018-05-20,5162,1008,Spanish,"A comprehensive guide to multivariate analysis techniques, including factor analysis and cluster analysis."
3064,Principles of Accounting,2019-04-15,5040,1009,English,This book introduces the principles and practices of financial accounting.
3065,Managerial Accounting,2020-06-10,5070,1009,Spanish,"An introduction to managerial accounting, focusing on decision-making and cost management."
3066,Advanced Financial Accounting,2021-08-22,5040,1009,Korean,"This book covers advanced topics in financial accounting, including consolidation and foreign currency transactions."
3067,Auditing,2018-03-25,5085,1009,Korean,"An introduction to auditing principles and practices, including audit planning and risk assessment."
3068,Taxation,2019-11-10,5034,1009,Japanese,"This book covers the principles of taxation, including tax planning and compliance."
3069,Cost Accounting,2020-01-20,5118,1009,Hindi,"An introduction to cost accounting, covering cost behavior, cost allocation, and budgeting."
3070,Accounting Information Systems,2021-04-15,5050,1009,Hebrew,This book covers the design and implementation of accounting information systems.
3071,Ethics in Accounting,2022-02-05,5046,1009,Russian,"An overview of ethical issues in accounting, including professional conduct and corporate governance."
3072,Fundamentals of Environmental Science,2021-06-15,5015,1010,Hebrew,"An introduction to the principles of environmental science, covering ecosystems, biodiversity, and pollution."
3073,Climate Change and Its Impacts,2022-01-10,5171,1010,Japanese,"This book explores the science behind climate change and its environmental, social, and economic impacts."
3074,Conservation Biology,2019-08-22,5139,1010,Hebrew,"A comprehensive guide to conservation biology, including species preservation and habitat management."
3075,Environmental Policy,2020-11-05,5059,1010,Spanish,"This book examines environmental policies and regulations at local, national, and global levels."
3076,Introduction to Philosophy,2018-09-15,5133,1011,German,An overview of major philosophical concepts and thinkers from ancient to modern times.
3077,Ethics and Morality,2020-03-25,5136,1011,Spanish,"This book explores the foundations of ethics and moral philosophy, including key theories and debates."
3078,Philosophy of Mind,2019-06-10,5073,1011,Korean,"An introduction to the philosophy of mind, covering topics such as consciousness, identity, and cognition."
3079,Political Philosophy,2021-11-15,5035,1011,Spanish,This book examines the philosophical foundations of political systems and ideologies.
3080,Aesthetics,2022-04-20,5057,1011,Chinese,"An exploration of the philosophy of art and beauty, including theories of aesthetics and artistic expression."
3081,Principles of Marketing,2019-01-12,5032,1012,Spanish,"An introduction to the principles and strategies of marketing, including market research and consumer behavior."
3082,Digital Marketing,2020-08-18,5157,1012,Russian,"This book covers the fundamentals of digital marketing, including SEO, social media, and online advertising."
3083,Marketing Research,2021-05-10,5111,1012,German,"An overview of marketing research methods and techniques, including data collection and analysis."
3084,Consumer Behavior,2018-11-30,5152,1012,Chinese,This book examines the psychological and sociological factors that influence consumer behavior.
3085,Brand Management,2022-03-25,5029,1012,English,"An in-depth look at brand management strategies, including brand equity and positioning."
3086,Introduction to Psychology,2019-07-10,5020,1013,English,"An overview of the field of psychology, covering major theories and concepts."
3087,Developmental Psychology,2020-02-15,5132,1013,Hebrew,"This book explores human development across the lifespan, including cognitive and social development."
3088,Clinical Psychology,2021-09-22,5000,1013,French,"An introduction to clinical psychology, covering assessment, diagnosis, and treatment of psychological disorders."
3089,Social Psychology,2018-12-15,5149,1013,Chinese,This book examines the influence of social interactions and group dynamics on individual behavior.
3090,Cognitive Psychology,2022-06-05,5036,1013,German,"An exploration of cognitive processes, including perception, memory, and decision-making."
3091,Introduction to Political Science,2019-03-25,5006,1014,Spanish,"An introduction to the field of political science, covering key concepts and theories."
3092,Comparative Politics,2020-10-12,5143,1014,Chinese,"This book examines the political systems of different countries, comparing their structures and processes."
3093,International Relations,2021-07-18,5030,1014,Korean,"An overview of international relations theories and issues, including diplomacy, conflict, and globalization."
3094,Political Theory,2018-05-22,5047,1014,Korean,This book explores major political theories and ideologies from ancient to modern times.
3095,Public Policy,2022-01-10,5100,1014,Italian,"An introduction to public policy analysis, covering policy formulation, implementation, and evaluation."
3096,Introduction to Law,2018-08-30,5095,1015,Chinese,"An overview of the legal system, including the structure of courts, legal reasoning, and fundamental principles of law."
3097,Constitutional Law,2020-03-15,5140,1015,Korean,"This book covers the principles of constitutional law, including judicial review, civil rights, and separation of powers."
3098,Criminal Law,2019-11-25,5158,1015,Spanish,"An introduction to criminal law, covering the elements of crimes, defenses, and criminal procedures."
3099,Contract Law,2021-05-05,5016,1015,Hebrew,"This book examines the principles of contract law, including formation, performance, and breach of contracts."
3100,Property Law,2022-07-18,5028,1015,Chinese,"An introduction to property law, covering the acquisition, ownership, and transfer of property rights."
3101,Introduction to Linguistics,2019-04-12,5022,1016,German,"An overview of the field of linguistics, covering phonetics, syntax, semantics, and language acquisition."
3102,Sociolinguistics,2020-09-20,5005,1016,English,"This book explores the relationship between language and society, including language variation and language policy."
3103,Historical Linguistics,2021-12-05,5062,1016,Hebrew,"An introduction to historical linguistics, covering language change, reconstruction, and the history of languages."
